,question,Summary,answer
427,How to redirect output to a file and stdout,"In bash, calling foo would display any output from that command on the stdout. Calling foo > output would redirect any output from that command to the file specified (in this case 'output'). Is ...","If someone just ended up here looking for capturing error output to file, take a look at - unix.stackexchange.com/questions/132511/…"
428,How to count lines in a document? [closed],"I have lines like these, and I want to know how many lines I actually have... 09:16:39 AM all 2.00 0.00 4.00 0.00 0.00 0.00 0.00 0.00 94.00 09:16:40 AM all 5.00 0.00 ...","Open file using vim, then type g <Ctrl-g>, It will show you number of lines, words, columns and bytes"
429,YYYY-MM-DD format date in shell script,"I tried using $(date) in my bash shell script, however, I want the date in YYYY-MM-DD format. How do I get this?",Comments must be at the least 15 words in length. date -I
430,Passing parameters to a Bash function,"I am trying to search how to pass parameters in a Bash function, but what comes up is always how to pass parameter from the command line. I would like to pass parameters within my script. I tried: ...","""...but what comes up is always how to pass parameter from the command line"" - Yes! That's because Bash scripts are basically sequences of command lines - invoke a function in a Bash script exactly as if it was a command on the command line! :-) Your call would be myBackupFunction "".."" ""..."" ""xx""; no parenthesis, no commas."
431,How can I declare and use Boolean variables in a shell script?,"I tried to declare a Boolean variable in a shell script using the following syntax: variable=$false variable=$true Is this correct? Also, if I wanted to update that variable would I use the same ...",To explain what is happening: the if statement is executing the contents of the variable which is the Bash builtin true. Any command could be set as the value of the variable and its exit value would be evaluated.
432,How to escape single quotes within single quoted strings,"Let's say, you have a Bash alias like: alias rxvt='urxvt' which works fine. However: alias rxvt='urxvt -fg '#111111' -bg '#111111'' won't work, and neither will: alias rxvt='urxvt -fg \'#111111\'...",Do you realise that you don't need to use single quotes for alias? Double quotes is much easier.
433,Pipe to/from the clipboard in a Bash script,"Is it possible to pipe to/from the clipboard in Bash? Whether it is piping to/from a device handle or using an auxiliary application, I can't find anything. For example, if /dev/clip was a device ...","I've been using :%y+ in vim, which is vim-speak for ""yank (copy) all the lines into the '+' register (the X PRIMARY clipboard)"". You can replace % with a range if you want to be specific. But there's three caveats: 1. Now, you have to save whatever text to a file before you can copy it. This is in contrast to the xclip command mentioned in the answers. 2. If you don't already know how to vim, this might be tedious. 3. You can only do this if a certain feature is enabled when compiling vim. If you install GVim, it should be enabled by default in both GUI and terminal instances of vim."
434,"How can I pipe stderr, and not stdout?","I have a program that writes information to stdout and stderr, and I need to process the stderr with grep, leaving stdout aside. Using a temporary file, one could do it in two steps: command > /dev/...","A similar question, but retaining stdout: unix.stackexchange.com/questions/3514/…"
435,Listing only directories using ls in Bash?,This command lists directories in the current path: ls -d */ What exactly does the pattern */ do? And how can we give the absolute path in the above command (e.g. ls -d /home/alice/Documents) for ...,"Note that */ won't match any hidden folders. To include them, either specify them explicitly like ls -d .*/ */, or set the dotglob option in Bash."
436,How to trim whitespace from a Bash variable?,"I have a shell script with this code: var=`hg st -R ""$path""` if [ -n ""$var"" ]; then echo $var fi But the conditional code always executes, because hg st always prints at least one newline ...","Related, if you wanted to trim space on an integer and just get the integer, wrap with $(( $var )), and can even do that when inside double quotes. This became important when I used the date statement and with filenames."
437,Replace one substring for another string in shell script,"I have ""I love Suzi and Marry"" and I want to change ""Suzi"" to ""Sara"". #!/bin/bash firstString=""I love Suzi and Marry"" secondString=""Sara"" # do something... The result must be like this: firstString=...","For the record, this may have been a fine question once upon a time, but since many years now, Stack Overflow does not encourage ""give me code"" type of questions. Please don't take this as a good example of how to ask questions here."
438,How to reload .bash_profile from the command line?,How can I reload .bash_profile from the command line? I can get the shell to recognize changes to .bash_profile by exiting and logging back in but I would like to be able to do it on demand.,"How about alias BASHRELOAD="". ~/.bash_profile"". If you do this often you can just alias it as br."
439,Parsing JSON with Unix tools,"I'm trying to parse JSON returned from a curl request, like so: curl 'http://twitter.com/users/username.json' | sed -e 's/[{}]/''/g' | awk -v k=""text"" '{n=split($0,a,"",""); for (i=1; i<=n; ...",Erm that is not good json parsing btw... what about the escape characters in strings...etc IS there a python answer to this on SO (a perl answer even...)?
440,How to echo shell commands as they are executed,"In a shell script, how do I echo all shell commands called and expand any variable names? For example, given the following line: ls $DIRNAME I would like the script to run the command and display ...",See also (duplicate): How can I print each command before executing?
441,Defining a variable with or without export,What is export for? What is the difference between: export name=value and name=value,"Tangentially note also that export name=value is not portable. Depending on what exactly you want, try name=value; export name for a portable solution."
442,How to compare strings in Bash,How do I compare a variable to a string (and do something if they match)?,Also see: mywiki.wooledge.org/BashFAQ/031
443,Propagate all arguments in a bash shell script,"I am writing a very simple script that calls another script, and I need to propagate the parameters from my current script to the script I am executing. For instance, my script name is foo.sh and ...",Related: How to pass all arguments passed to my bash script to a function of mine?
444,How to iterate over arguments in a Bash script,I have a complex command that I'd like to make a shell/bash script of. I can write it in terms of $1 easily: foo $1 args -o $1.ext I want to be able to pass multiple input names to the script. What'...,"FYI, it's a good idea to always put parameters within quotes. You never know when a parm might contain an embedded space."
445,Assigning default values to shell variables with a single command in bash,"I have a whole bunch of tests on variables in a bash (3.00) shell script where if the variable is not set, then it assigns a default, e.g.: if [ -z ""${VARIABLE}"" ]; then FOO='default' else ...",Shell Parameter Expansion section of the bash shell reference is a good starting places: tiswww.case.edu/php/chet/bash/bashref.html#Shell-Expansions.
446,How do I put an already-running process under nohup?,"I have a process that is already running for a long time and don't want to end it. How do I put it under nohup (that is, how do I cause it to continue running even if I close the terminal?)","To anyone facing the same problem: Remember, that even if you type yourExecutable & and the outputs keep coming on the screen and Ctrl+C does not seem to stop anything, just blindly type disown; and press Enter even if the screen is scrolling with outputs and you can't see what you're typing. The process will get disowned and you'll be able to close the terminal without the process dying."
447,How do I clear/delete the current line in terminal?,"If I'm using terminal and typing in a line of text for a command, is there a hotkey or any way to clear/delete that line? For example, if my current line/command is something really long like: > ...",Shortcuts to Move Faster in Bash Command Line This page is more illustrative and explains better I think
448,How do I use sudo to redirect output to a location I don't have permission to write to? [closed],"I've been given sudo access on one of our development RedHat linux boxes, and I seem to find myself quite often needing to redirect output to a location I don't normally have write access to. The ...",use chmod u+w filename
449,How to permanently set $PATH on Linux/Unix [closed],"On Linux, how can I add a directory to the $PATH so it remains persistent across different sessions? Background I'm trying to add a directory to my path so it will always be in my Linux path. I've ...","If you are on a mac, then bashrc works fine, no need to continuously source ~/.profile for the terminal to read from the environment variables"
450,Get current directory name (without full path) in a Bash script,"How would I get just the current working directory name in a bash script, or even better, just a terminal command. pwd gives the full path of the current working directory, e.g. /opt/local/bin but I ...","With full path, see: Getting the source directory of a Bash script from within."
451,Shell: How to call one shell script from another shell script?,"I have two shell scripts, a.sh and b.sh. How can I call b.sh from within the shell script a.sh?",Can you give some specifics: which OS and which shell(s) or are you just talking about that problem in principle?? Example code would be helpful as well.
452,"In Bash, how can I check if a string begins with some value?","I would like to check if a string begins with ""node"" e.g. ""node001"". Something like if [ $HOST == user* ] then echo yes fi How can I do it correctly? I further need to combine expressions to ...","Don't be too tempted to combine expressions. It may look uglier to have two separate conditionals, though you can give better error messages and make your script easier to debug. Also I would avoid the bash features. The switch is the way to go."
453,What does set -e mean in a bash script?,I'm studying the content of this preinst file that the script executes before that package is unpacked from its Debian archive (.deb) file. The script has the following code: #!/bin/bash set -e # ...,set -e
454,How do I pause my shell script for a second before continuing?,"I have only found how to wait for user input. However, I only want to pause so that my while true doesn't crash my computer. I tried pause(1), but it says -bash: syntax error near unexpected token '...","It seems on Mac OS X, the s, m, h, nor d have any impact. You must specify the time in seconds."
455,Add line break to 'git commit -m' from the command line,"I am using Git from the command line and am trying to add a line break to the commit message (using git commit -m """") without going into Vim. Is this possible?","As a note, here's a link which summarizes good commit message conventions - github.com/erlang/otp/wiki/Writing-good-commit-messages if it helps someone."
456,Count number of lines in a git repository,How would I count the total number of lines present in all the files in a git repository? git ls-files gives me a list of files tracked by git. I'm looking for a command to cat all those files. ...,I guess trivial; How about include only source code files (eg *.cpp). We have some bin files committed :)
457,Extract substring in Bash,"Given a filename in the form someletters_12345_moreleters.ext, I want to extract the 5 digits and put them into a variable. So to emphasize the point, I have a filename with x number of characters ...","Most of the answers don't seem to answer your question because the question is ambiguous. ""I have a filename with x number of characters then a five digit sequence surrounded by a single underscore on either side then another set of x number of characters"". By that definition abc_12345_def_67890_ghi_def is a valid input. What do you want to happen? Let's assume there is only one 5 digit sequence. You still have abc_def_12345_ghi_jkl or 1234567_12345_1234567 or 12345d_12345_12345e as valid input based on your definition of input and most of the answers below will not handle this."
458,"Given two directory trees, how can I find out which files differ by content? [closed]","If I want find the differences between two directory trees, I usually just execute: diff -r dir1/ dir2/ This outputs exactly what the differences are between corresponding files. I'm interested in ...",Duplicate of How to compare differences between directories (linux)
459,Add a new element to an array without specifying the index in Bash,Is there a way to do something like PHPs $array[] = 'foo'; in bash vs doing: array[0]='foo' array[1]='bar',"""How to add/remove an element to/from the array in bash?"""
460,Check number of arguments passed to a Bash script,I would like my Bash script to print an error message if the required argument count is not met. I tried the following code: #!/bin/bash echo Script name: $0 echo $# arguments if [$# -ne 1]; ...,"You shouldn't name your script test. That's the name of a standard Unix command, you wouldn't want to shadow it."
461,What are the special dollar sign shell variables?,"In Bash, there appear to be several variables which hold special, consistently-meaning values. For instance, ./myprogram &; echo $! will return the PID of the process which backgrounded ...",Several of them are not Bash-only. They're also used in other Bourne-related shells and in fact are specified by POSIX.
462,Setting environment variables on OS X,What is the proper way to modify environment variables like PATH in OS X? I've looked on Google a little bit and found three different files to edit: /etc/paths ~/.profile ~/.tcshrc I don't ...,"env ""switch.1.disabled=true"" open -n /Applications/Eclipse.app/ to launch GUI application with a new set system environment."
463,How can I write a heredoc to a file in Bash script?,How can I write a here document to a file in Bash script?,See also stackoverflow.com/questions/22697688/…
464,Read a file line by line assigning the value to a variable [duplicate],"I have the following .txt file: Marco Paolo Antonio I want to read it line-by-line, and for each line I want to assign a .txt line value to a variable. Supposing my variable is $name, the flow is: ...","Can those questions maybe be merged somehow? Both have some really good answers that highlight different aspects of the problem, the bad answers have in-depth explanations in the comments what's bad about them, and as of now you cannot really get a whole overview on what to consider, from the answers of one single question from the pair. It would be helpful to have all of it in one spot, rather than splotted over 2 pages."
465,"How can I exclude all ""permission denied"" messages from ""find""?","I need to hide all permission denied messages from: find . > files_and_folders I am experimenting when such message arises. I need to gather all folders and files, to which it does not arise. ...","Great question! Unfortunately, the first three answers simply do not work on Debian Linux. Or at least my configuration of it. I needed Fatih's solution, find /. -name 'toBeSearched.file' 2>/dev/null."
466,Reliable way for a Bash script to get the full path to itself [duplicate],"I have a Bash script that needs to know its full path. I'm trying to find a broadly-compatible way of doing that without ending up with relative or funky-looking paths. I only need to support Bash, ...",Please see BashFAQ/028.
467,"In a Bash script, how can I exit the entire script if a certain condition occurs?","I'm writing a script in Bash to test some code. However, it seems silly to run the tests if compiling the code fails in the first place, in which case I'll just abort the tests. Is there a way I can ...","@CMCDragonkai, usually any non-zero code will work. If you don't need anything special, you can just use 1 consistently. If the script is meant to be run by another script, you may want to define your own set of status code with particular meaning. For example, 1 == tests failed, 2 == compilation failed. If the script is part of something else, you may need to adjust the codes to match the practices used there. For example, when part of test suite run by automake, the code 77 is used to mark a test skipped."
468,"How does ""cat << EOF"" work in bash?","I needed to write a script to enter multi-line input to a program (psql). After a bit of googling, I found the following syntax works: cat << EOF | psql ---params BEGIN; `pg_dump ----...","That's probably a useless use of cat. Try psql ... << EOF ... See also ""here strings"". mywiki.wooledge.org/BashGuide/InputAndOutput?#Here_Strings"
469,Redirect all output to file in Bash [duplicate],"I know that in Linux, to redirect output from the screen to a file, I can either use the > or tee. However, I'm not sure why part of the output is still output to the screen and not written to the ...","well, i found the reference and have deleted my post for having incorrect information. from the bash manual: '""ls 2>&1 > dirlist"" directs only the standard output to dirlist, because the standard error was duplicated from the standard output before the standard output was redirected to dirlist"" :)"
470,When do we need curly braces around shell variables?,"In shell scripts, when do we use {} when expanding variables? For example, I have seen the following: var=10 # Declare variable echo ""${var}"" # One use of the variable echo ""$var"" # ...",{} is known as brace expansion. ${} is known as variable expansion. They do different things. I'd upvote you except for the no expansion bit.
471,Set environment variables from file of key/value pairs,"TL;DR: How do I export a set of key/value pairs from a text file into the shell environment? For the record, below is the original version of the question, with examples. I'm writing a script in bash ...",Same on unix: unix.stackexchange.com/questions/31797/…
472,How can I do a recursive find/replace of a string with awk or sed?,How do I find and replace every occurrence of: subdomainA.example.com with subdomainB.example.com in every text file under the /home/www/ directory tree recursively?,Tip: Don't do the below in an svn checkout tree... it will overwrite magic .svn folder files.
473,How to split a string into an array in Bash?,"In a Bash script, I would like to split a line into pieces and store them in an array. For example, given the line: Paris, France, Europe I would like to have the resulting array to look like so: ...","This is #1 Google hit but there's controversy in the answer because the question unfortunately asks about delimiting on , (comma-space) and not a single character such as comma. If you're only interested in the latter, answers here are easier to follow: stackoverflow.com/questions/918886/…"
474,How to 'grep' a continuous stream?,"Is that possible to use grep on a continuous stream? What I mean is sort of a tail -f <file> command, but with grep on the output in order to keep only the lines that interest me. I've tried ...",It is highly likely the program generating the file is not flushing its output.
475,How to pass all arguments passed to my bash script to a function of mine? [duplicate],Let's say I have defined a function abc() that will handle the logic related to analyzing the arguments passed to my script. How can I pass all arguments my bash script has received to it? The number ...,Possible duplicate of Propagate all arguments in a bash shell script. (This question was actually posted before the one linked here. But the one in the link has more detailed answers and a more informative title and may be best as the reference question)
476,Are double square brackets [[ ]] preferable over single square brackets [ ] in Bash?,"A coworker claimed recently in a code review that the [[ ]] construct is to be preferred over [ ] in constructs like if [ ""`id -nu`"" = ""$someuser"" ] ; then echo ""I love ...","Be flexible, sometimes allow yourself to listen an advice without requiring its deep explanation :) As for [[ with it the code is good and clear, but remember that day when you'll port your scriptworks on the system with default shell which is not bash or ksh, etc. [ is uglier, cumbersome, but works as AK-47 in any situation."
477,"Why can't I change directories using ""cd"" in a script?","I'm trying to write a small script to change the current directory to my project directory: #!/bin/bash cd /home/tree/projects/java I saved this file as proj, added execute permission with chmod, ...",cross site duplicate: superuser.com/questions/176783/…
478,How to mount a host directory in a Docker container,I am trying to mount a host directory into a Docker container so that any updates done on the host is reflected into the Docker containers. Where am I doing something wrong. Here is what I did: ...,"FYI, this seems to be fixed in docker as of this comment. I'm using boot2docker on my mac. I can use the -v option and my local directory gets mounted all the way into the container."
479,"Get current time in seconds since the Epoch on Linux, Bash","I need something simple like date, but in seconds since 1970 instead of the current date, hours, minutes, and seconds. date doesn't seem to offer that option. Is there an easy way?",Some versions of date have it and some don't. So it's not always present. I ran 'type -a date' and used a different version and that worked.
480,Bash tool to get nth line from a file,"Is there a ""canonical"" way of doing that? I've been using head -n | tail -1 which does the trick, but I've been wondering if there's a Bash tool that specifically extracts a line (or a range of lines) ...","The ""Unix way"" is to chain tools that do their respective job well. So I think you already found a very suitable method. Other methods include awk and sed and I'm sure someone can come up with a Perl one-liner or so as well ;)"
481,Redirect stderr and stdout in Bash [duplicate],I want to redirect both standard output and standard error of a process to a single file. How do I do that in Bash?,"I'd like to say this is a surprisingly useful question. Many people do not know how to do this, as they don't have to do so frequently, and it is not the best documented behavior of Bash."
482,Difference between single and double quotes in Bash,"In Bash, what are the differences between single quotes ('') and double quotes ("""")?","See also (a potential cross-site duplicate): What is the difference between “…”, '…', $'…', and $“…” quotes? from Unix & Linux Stack Exchange."
483,Syntax for a single-line while loop in Bash,"I am having trouble coming up with the right combination of semicolons and/or braces. I'd like to do this, but as a one-liner from the command line: while [ 1 ] do foo sleep 2 done",replace newlines with semicolons. The same works for for loops.
484,How can I compare numbers in Bash?,"I'm unable to get numeric comparisons working: echo ""enter two numbers""; read a b; echo ""a=$a""; echo ""b=$b""; if [ $a \> $b ]; then echo ""a is greater than b&...",Basic reading: BashFAQ
485,How do I prompt a user for confirmation in bash script? [duplicate],"I want to put a quick ""are you sure?"" prompt for confirmation at the top of a potentially dangerous bash script, what's the easiest/best way to do this?",Related
486,How do I test if a variable is a number in Bash?,"I just can't figure out how do I make sure an argument passed to my script is a number or not. All I want to do is something like this: test *isnumber* $1 && VAR=$1 || echo ""need a number"" ...","As an aside -- the test && echo ""foo"" && exit 0 || echo ""bar"" && exit 1 approach you're using may have some unintended side effects -- if the echo fails (perhaps output is to a closed FD), the exit 0 will be skipped, and the code will then try to echo ""bar"". If it fails at that too, the && condition will fail, and it won't even execute exit 1! Using actual if statements rather than &&/|| is less prone to unexpected side effects."
487,How to kill all processes with a given partial name? [closed],I want to kill all processes that I get by: ps aux | grep my_pattern How to do it? This does not work: pkill my_pattern,"Is my_pattern simply a substring of the name, or does it contain any regex special characters?"
488,"How to use double or single brackets, parentheses, curly braces","I am confused by the usage of brackets, parentheses, curly braces in Bash, as well as the difference between their double or single forms. Is there a clear explanation?","WARNING: That function is a fork bomb, do not run it. See: en.wikipedia.org/wiki/Fork_bomb"
489,Find and kill a process in one line using bash and regex,I often need to kill a process during programming. The way I do it now is: [~]$ ps aux | grep 'python csp_build.py' user 5124 1.0 0.3 214588 13852 pts/4 Sl+ 11:19 0:00 python csp_build.py ...,Believe me! :'D The first answer you selected is way more complex than the solution you told you in your answer. I would rather choose your way.
490,How to determine the current interactive shell that I'm in? (command-line),How can I determine the current shell I am working on? Would the output of the ps command alone be sufficient? How can this be done in different flavors of Unix?,"Testing for particular capabilities (e.g. does it do ! substitution?) is probably more portable than finding the name of the shell. Local custom might have you running something named /bin/sh which could actually be ash, dash, bash, etc."
491,Automatic exit from Bash shell script on error [duplicate],I've been writing some shell script and I would find it useful if there was the ability to halt the execution of said shell script if any of the commands failed. See below for an example: #!/bin/bash ...,answer goes to Adam for the detail regarding set -e (which is exactly wanted). Also thanks to a_m0d for the info on traps (though not 100% relevant).
492,How do I remove all .pyc files from a project?,I've renamed some files in a fairly large project and want to remove the .pyc files they've left behind. I tried the bash script: rm -r *.pyc But that doesn't recurse through the folders as I ...,"It doesn't work because in UNIX, globs are expanded by the shell, not by the program being run. If you have a.pyc and b.pyc in the current directory, and directories foo and bar, rm will be called with arguments [-r, a.pyc, b.pyc]."
493,How do I compare two string variables in an 'if' statement in Bash? [duplicate],"I'm trying to get an if statement to work in Bash (using Ubuntu): #!/bin/bash s1=""hi"" s2=""hi"" if [""$s1"" == ""$s2""] then echo match fi I've tried various forms of the if statement, using [[""$s1"" ==...",See also stackoverflow.com/questions/9581064/…
494,How to loop over files in directory and change path and add suffix to filename,"I need to write a script that starts my program with different arguments, but I'm new to Bash. I start my program with: ./MyProgram.exe Data/data1.txt [Logs/data1_Log.txt]. Here is the pseudocode ...",Possible duplicate of: stackoverflow.com/questions/1732861/…
495,How to define hash tables in Bash?,What is the equivalent of Python dictionaries but in Bash (should work across OS X and Linux).,Have bash run a python/perl script... That's so much flexible!
496,How do I know the script file name in a Bash script?,"How can I determine the name of the Bash script file inside the script itself? Like if my script is in file runme.sh, then how would I make it to display ""You are running runme.sh"" message without ...",Similar [Can a bash script tell what directory its stored in?](to stackoverflow.com/questions/59895/…)
497,Check if pull needed in Git,How do I check whether the remote repository has changed and I need to pull? Now I use this simple script: git pull --dry-run | grep -q -v 'Already up-to-date.' && changed=1 But it is ...,"Please note: ""git pull --dry-run"" does not work as probably expected. It seems, that git pull passes unknown options directly to git fetch. The result is that of a normal git pull."
498,How to detect the OS from a Bash script?,I would like to keep my .bashrc and .bash_login files in version control so that I can use them between all the computers I use. The problem is I have some OS specific aliases so I was looking for a ...,Have you ever considered sharing your configs? I was looking to get the same kind of setup :)
499,Read .mat files in Python,"Is it possible to read binary MATLAB .mat files in Python? I've seen that SciPy has alleged support for reading .mat files, but I'm unsuccessful with it. I installed SciPy version 0.7.0, and I can't ...",Official SciPy.io tutorial: docs.scipy.org/doc/scipy/reference/tutorial/io.html
500,How can I index a MATLAB array returned by a function without first assigning it to a local variable?,"For example, if I want to read the middle value from magic(5), I can do so like this: M = magic(5); value = M(3,3); to get value == 13. I'd like to be able to do something like one of these: value =...","I also found the following article on this theme: mathworks.com/matlabcentral/newsreader/view_thread/280225 Anybody has new information on this theme, will it be implemented?"
501,Differences between Octave and MATLAB [closed],"I'm a programmer who knows Python, Ruby and some C who is trying to decide whether to learn GNU Octave or MATLAB. I know that they have a lot in common, but it isn't clear to me how similar the syntax ...","Since you're a student, it's worth checking if your school provides matlab to students for free / cheap; both my undergrad and grad schools do that, which makes it somewhat easier to decide to go with matlab."
502,Representing and solving a maze given an image,"What is the best way to represent and solve a maze given an image? Given an JPEG image (as seen above), what's the best way to read it in, parse it into some data structure and solve the maze? My ...",I'd convert the maze to black and white and use a path finding cellular automata method to solve it.
503,xkcd style graphs in MATLAB,"So talented people have figured out how to make xkcd style graphs in Mathematica, in LaTeX, in Python and in R already. How can one use MATLAB to produce a plot that looks like the one above? What I ...","Edit seems to satisfy ""did some basic research first"". Also, the answers here are nice. Re-opening."
504,"Is it possible to define more than one function per file in MATLAB, and access them from outside that file?","When I was studying for my undergraduate degree in EE, MATLAB required each function to be defined in its own file, even if it was a one-liner. I'm studying for a graduate degree now, and I have to ...","The favorite answer option looks like this ^, @idigas"
505,Why is MATLAB so fast in matrix multiplication?,"I am making some benchmarks with CUDA, C++, C#, Java, and using MATLAB for verification and matrix generation. When I perform matrix multiplication with MATLAB, 2048x2048 and even bigger matrices are ...",Probably its a question of which algorithm you use.
506,How to get the type of a variable in MATLAB,Does MATLAB have a function/operator that indicates the type of a variable (similar to the typeof operator in JavaScript)?,"for conditionals: if ( string(class(b)) == 'double' ) fprintf(1, 'b is double'); end"
507,"Is there a foreach in MATLAB? If so, how does it behave if the underlying data changes?","Is there a foreach structure in MATLAB? If so, what happens if the underlying data changes (i.e. if objects are added to the set)?","though, from experience I would say that their performance is equal or worst to writing a for-loop, better looking though, and who knows they might improve in the future."
508,A tool to convert MATLAB code to Python [closed],I have a bunch of MATLAB code from my MS thesis which I now want to convert to Python (using numpy/scipy and matplotlib) and distribute as open-source. I know the similarity between MATLAB and Python ...,"another possibility is to release your source code as is, and test it in Octave (www.gnu.org/software/octave) which has 99% matlab competability."
509,Is MATLAB OOP slow or am I doing something wrong?,"I'm experimenting with MATLAB OOP, as a start I mimicked my C++'s Logger classes and I'm putting all my string helper functions in a String class, thinking it would be great to be able to do things ...","Thank you for this question! Performance of Matlab heap (OOP/closures) has troubled me for years, see stackoverflow.com/questions/1446281/matlabs-garbage-collector. I am really curious what MatlabDoug/Loren/MikeKatz will respond to your post."
510,Using i and j as variables in MATLAB,"i and j are very popular variable names (see e.g., this question and this one). For example, in loops: for i=1:10, % Do something... end As indices into a matrix: mat(i, j) = 4; Why shouldn't ...","Of course I won't flag it as such, but judging from the answers I'd say this is ""primarily opinion-based"". ;-) I personally wouldn't give up on i, j, k as the generic loop variable names."
511,What is the Python equivalent of Matlab's tic and toc functions?,What is the Python equivalent of Matlab's tic and toc functions?,"If you really want the direct equivalent, just call tic = time.time() and toc = time.time(), then print toc-tic, 'sec Elapsed' As folks have said below, though, timeit is more robust."
512,What can MATLAB do that R cannot do? [closed],I often hear people complain how expensive MATLAB licenses are. Then I wonder why they don't just use Octave or R. But is the latter right? Can you use R to replace MATLAB?,"by the way, there's another open source alternative: Octave is mostly Matlab compatible"
513,"In MATLAB, when is it optimal to use bsxfun?","I've noticed that a lot of good answers to MATLAB questions on Stack Overflow frequently use the function bsxfun. Why? Motivation: In the MATLAB documentation for bsxfun, the following example is ...","Note that the speed reading you get depends on the test you perform. If you run the above code after restarting Matlab and simply put tic...toc around the lines, the speed of the code will depend on having to read functions into memory."
514,How do I set default values for functions parameters in MATLAB?,"Is it possible to have default arguments in MATLAB? For instance, here: function wave(a, b, n, k, T, f, flag, fTrue=inline('0')) I would like to have the true solution be an optional argument to the ...","This option doesn't work if you are going to use MATLAB Coder to generate C code, as Coder does not support the ""exist"" function."
515,How to elegantly ignore some return values of a MATLAB function,"Is it possible to get the 'nth' return value from a function without having to create dummy variables for all n-1 return values before it? Let's say, I have the following function in MATLAB: function [...","Aside from using a cell array as I described in my answer, repeating the variable name is probably your only other solution. Hopefully your variable names aren't as long as ""variableThatIWillUse"". =)"
516,Matlab: Running an m-file from command-line,"Suppose that; I have an m-file at location: C:\M1\M2\M3\mfile.m And exe file of the matlab is at this location: C:\E1\E2\E3\matlab.exe I want to run this m-file with Matlab, from command-line, for ...","you might find these useful: stackoverflow.com/questions/14495/…, stackoverflow.com/questions/1857825/run-matlab-in-batch-mode"
517,Automatically plot different colored lines,"I'm trying to plot several kernel density estimations on the same graph, and I want them to all be different colors. I have a kludged solution using a string 'rgbcmyk' and stepping through it for each ...","Did you try simply doing ""hold all""? That automatically draws news colors for each new plot command."
518,What is the equivalent of MATLAB's repmat in NumPy,"I would like to execute the equivalent of the following MATLAB code using NumPy: repmat([1; 1], [1 1 1]). How would I accomplish this?","when i try size(repmat([1;1],[1,1,2])) it get ans = 2 1 2 [in matlab] but in python np.tile(a,[1,1,2]).shape it get(1, 2, 2) , i want numpy give result as same as matlab"
519,How can I apply a function to every row/column of a matrix in MATLAB?,"You can apply a function to every item in a vector by saying, for example, v + 1, or you can use the function arrayfun. How can I do it for every row/column of a matrix without using a for loop?","I would test performance of this approach for any particular case against simple for-loop, which might be faster then converting a matrix to cell array. Wrap with tic/toc to test."
520,How to search for a string in cell array in MATLAB?,Let's say I have the cell array strs = {'HA' 'KU' 'LA' 'MA' 'TATA'} What should I do if I want to find the index of 'KU'?,Note that the current top answer is quite outdated. Make sure to also check this answer.
521,arrayfun can be significantly slower than an explicit loop in matlab. Why?,"Consider the following simple speed test for arrayfun: T = 4000; N = 500; x = randn(T, N); Func1 = @(a) (3*a^2 + 2*a - 1); tic Soln1 = ones(T, N); for t = 1:T for n = 1:N Soln1(t, n) = ...","Fortunately, the ""standard solution"" remains the fastest by far: tic; 3*x.^2+2*x-1; toc Elapsed time is 0.030662 seconds."
522,What's the difference between & and && in MATLAB?,What is the difference between the & and && logical operators in MATLAB?,Do you have any information on which Matlab versions shortcut & and | in if/while statements? It does not seem to be the case in R2012b and R2014a.
523,Map function in MATLAB?,"I'm a little surprised that MATLAB doesn't have a Map function, so I hacked one together myself since it's something I can't live without. Is there a better version out there? Is there a somewhat-...","Lesson #1 going from other languages to Matlab: Don't use for loops, they are a few orders of magnitude slower than a vectorized solution."
524,How to get all files under a specific directory in MATLAB?,"I need to get all those files under D:\dic and loop over them to further process individually. Does MATLAB support this kind of operations? It can be done in other scripts like PHP,Python...","+1 - Great solution. I don't know if it's necessary, but if you insert the line: fileList = cellfun(@(x) strcat([dirName,'\'],x),fileList,'UniformOutput',0); into your solution between the first fileList definition and the subDirs definition, it will return the full path and filename for each file."
525,Why does numpy std() give a different result to matlab std()?,"I try to convert matlab code to numpy and figured out that numpy has a different result with the std function. in matlab std([1,3,4,6]) ans = 2.0817 in numpy np.std([1,3,4,6]) 1.8027756377319946 ...","I'll add that in Matlab, std([1 3 4 6],1) is equivalent to NumPy's default np.std([1,3,4,6]). All of this is quite clearly explained in the documentation for Matlab and NumPy, so I strongly recommend that the OP be sure to read those in the future."
526,Octave / Matlab: Extend a vector making it repeat itself?,"Is there a way to extend a vector by making it repeat itself? >v = [1 2]; >v10 = v x 5; %x represents some function. Something like ""1 2"" x 5 in perl Then v10 would be: >v10 1 2 1 2 1 ...","You can use kron - The Kroencker product operator. e.g. v=[1 2] and v100=kron(ones(1,100),v) is the vector v100=[v v ... v] (100 times). If you want to concatenate some column-vector y with itself K times, use yK=kron(ones(K,1),y)."
527,Hash tables in MATLAB,Does MATLAB have any support for hash tables? Some background I am working on a problem in Matlab that requires a scale-space representation of an image. To do this I create a 2-D Gaussian filter ...,"Wow, I didn't know that! +1. Do you know whether they're much faster than logical indexing?"
528,Setting graph figure size,All I want to do is make the width greater and the height smaller. I'm just doing raster plots but this question applies to any MATLAB figure. I can manually resize it using the figure directly when ...,"And how can you save the figure with the same dimensions defined by set? As saveas(gcf, file, 'png') uses default dimensions instead."
